,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2111,44b98f79-0de0-4e85-bedf-809e3a77995a,09/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Weiß
2112,7c7fa896-2eba-4933-be24-7c5fc9c4a8c4,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
2113,c1921dcc-fe78-46bf-8079-981dd07d7b1d,11/2014,Benzin,Automatik,169 kW (230 PS),1.984 cm³,Grau Metallic
2114,17206b25-f4a0-4fe9-a064-48c944d3fa32,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2115,2c825633-d68c-42c9-a0e9-0273cecaaacd,05/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Weiß
2116,c54d032f-86b4-4aeb-a26a-63eabb3b73db,,"Benzin, E10-geeignet",Schaltgetriebe,121 kW (165 PS),1.998 cm³,Grau Metallic
2117,b6b9e11f-910d-460e-a4a3-c496c0121b1e,06/2020,"Benzin, E10-geeignet",Schaltgetriebe,110 kW (150 PS),1.498 cm³,Weiß Metallic
2118,df095d33-2f38-4f80-b203-acfb3559041b,09/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Weiß
2119,4b222de0-2025-4d77-a560-430e58b413ae,,,,,,
2120,cb8ff8a9-92a9-44b3-b927-e3f9b3fb3b8e,07/2013,Benzin,Automatik,165 kW (224 PS),1.984 cm³,Rot Metallic
2121,6736119c-d80f-4f4f-90c7-3e9f4726fbdf,03/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Schwarz Metallic
2122,5ac886f0-e4a7-45d6-ad14-7ef3940e378f,06/2013,Benzin,Schaltgetriebe,77 kW (105 PS),1.197 cm³,Weiß Metallic
